K079160,CJ CGV
K079170,한창산업
K079370,제우스
K079430,현대리바트
K079550,LIG넥스원
K079650,서산
K079810,디이엔티
K079940,가비아
K079950,인베니아
K079960,동양이엔피
K079970,투비소프트
K079980,휴비스
K080000,에스엔유
K080010,이상네트웍스
K080160,모두투어
K080220,제주반도체
K080420,모다이노칩
K080470,성창오토텍
K080520,오디텍
K080530,코디
K080580,오킨스전자
K080720,한국유니온제약
K081000,일진다이아
K081150,티플랙스
K081580,성우전자
K081660,휠라홀딩스
K082210,옵트론텍
K082270,젬백스
K082640,동양생명
K082660,코스나인
K082740,HSD엔진
K082800,비보존 헬스케어
K082850,우리바이오
K082920,비츠로셀
K083310,엘오티베큠
K083420,그린케미칼
K083450,GST
K083500,에프엔에스테크
K083550,케이엠
K083640,인콘
K083650,비에이치아이
K083660,CSA 코스믹
K083790,크리스탈지노믹스
K083930,아바코
K084010,대한제강
K084110,휴온스글로벌
K084180,수성
K084370,유진테크
K084650,랩지노믹스
K084670,동양고속
K084680,이월드
K084690,대상홀딩스
K084730,팅크웨어
K084850,아이티엠반도체
K084870,TBH글로벌
K084990,헬릭스미스
K085310,엔케이
K085370,루트로닉
K085620,미래에셋생명
K085660,차바이오텍
K085670,뉴프렉스
K085810,알티캐스트
K085910,네오티스
K086040,바이오톡스텍
K086060,진바이오텍
K086280,현대글로비스
K086390,유니테스트
K086450,동국제약
K086520,에코프로
K086670,비엠티
K086790,하나금융지주
K086820,바이오솔루션
K086890,이수앱지스
K086900,메디톡스
K086960,한컴MDS
K086980,쇼박스
K087010,펩트론
K087260,모바일어플라이언스
K087600,픽셀플러스
K088130,동아엘텍
K088290,이원컴포텍
K088350,한화생명
K088390,이녹스
K088790,진도
K088800,에이스테크
K088910,동우팜투테이블
K089010,켐트로닉스
K089030,테크윙
K089140,넥스턴
K089150,케이씨티
K089230,THE E&M
K089470,HDC현대EP
K089530,에이티세미콘
K089590,제주항공
K089600,나스미디어
K089790,제이티
K089850,유비벨록스
K089890,코세스
K089970,에이피티씨
K089980,상아프론테크
K090080,평화산업
K090150,광진윈텍
K090350,노루페인트
K090360,로보스타
K090370,메타랩스
K090410,덕신하우징
K090430,아모레퍼시픽
K090460,비에이치
K090470,제이스텍
K090710,휴림로봇
K090740,아이엠이연이
K090850,이지웰
K091090,세원셀론텍
K091120,이엠텍
K091340,S&K폴리텍
K091440,텔레필드
K091580,상신이디피
K091590,남화토건
K091700,파트론
K091810,티웨이항공
K091970,나노캠텍
K091990,셀트리온헬스케어
K092040,아미코젠
K092070,디엔에프
K092130,이크레더블
K092190,서울바이오시스
K092200,디아이씨
K092220,KEC
K092230,KPX홀딩스
K092300,현우산업
K092440,기신정기
K092460,한라IMS
K092600,앤씨앤
K092730,네오팜
K092780,동양피스톤
K092870,엑시콘
K093050,LF
K093190,빅솔론
K093230,이아이디
K093240,형지엘리트
K093320,케이아이엔엑스
K093370,후성
K093380,풍강
K093520,매커스
K093640,다믈멀티미디어
K093920,서원인텍
K094170,동운아나텍
K094280,효성ITX
K094360,칩스앤미디어
K094480,갤럭시아머니트리
K094820,일진파워
K094840,슈프리마에이치큐
K094850,참좋은여행
K094860,코닉글로리
K094940,푸른기술
K094970,제이엠티
K095190,이엠코리아
K095270,웨이브일렉트로
K095340,ISC
K095500,미래나노텍
K095570,AJ네트웍스
K095610,테스
K095660,네오위즈
K095700,제넥신
